ip,company_name
45.61.187.248,Air VPN
89.187.182.138,Aloha VPN
209.216.77.22,Aloha VPN
38.132.98.11,Atlas VPN
38.132.98.12,Atlas VPN
38.132.98.27,Atlas VPN
172.67.175.252,Atlas VPN
67.213.221.192,Aura VPN
100.120.165.51,Avast VPN
208.74.151.94,AVG VPN
186.233.186.49,Bitdefender VPN
49.13.75.91,Browsec
207.244.71.71,Browsec
207.244.71.72,Browsec
207.244.71.73,Browsec
207.244.71.74,Browsec
207.244.71.83,Browsec
207.244.89.175,Browsec
64.226.128.1,Check Point
64.226.128.2,Check Point
64.226.128.3,Check Point
64.226.128.4,Check Point
64.226.128.5,Check Point
64.226.128.6,Check Point
64.226.128.7,Check Point
64.226.128.8,Check Point
64.226.128.9,Check Point
64.226.128.10,Check Point
64.226.128.11,Check Point
64.226.128.12,Check Point
64.226.128.13,Check Point
64.226.128.14,Check Point
64.226.128.15,Check Point
64.226.128.16,Check Point
64.226.128.17,Check Point
64.226.128.18,Check Point
64.226.128.19,Check Point
64.226.128.20,Check Point
64.226.128.21,Check Point
64.226.128.22,Check Point
64.226.128.23,Check Point
64.226.128.24,Check Point
64.226.128.25,Check Point
64.226.128.26,Check Point
64.226.128.27,Check Point
64.226.128.28,Check Point
64.226.128.29,Check Point
64.226.128.30,Check Point
64.226.128.31,Check Point
64.226.128.32,Check Point
64.226.128.33,Check Point
64.226.128.34,Check Point
64.226.128.35,Check Point
64.226.128.36,Check Point
64.226.128.37,Check Point
64.226.128.38,Check Point
64.226.128.39,Check Point
64.226.128.40,Check Point
64.226.128.41,Check Point
64.226.128.42,Check Point
64.226.128.43,Check Point
64.226.128.44,Check Point
64.226.128.45,Check Point
64.226.128.46,Check Point
64.226.128.47,Check Point
64.226.128.48,Check Point
64.226.128.49,Check Point
64.226.128.50,Check Point
64.226.128.51,Check Point
64.226.128.52,Check Point
64.226.128.53,Check Point
64.226.128.54,Check Point
64.226.128.55,Check Point
64.226.128.56,Check Point
64.226.128.57,Check Point
64.226.128.58,Check Point
64.226.128.59,Check Point
64.226.128.60,Check Point
64.226.128.61,Check Point
64.226.128.62,Check Point
64.226.128.63,Check Point
64.226.128.64,Check Point
64.226.128.65,Check Point
64.226.128.66,Check Point
64.226.128.67,Check Point
64.226.128.68,Check Point
64.226.128.69,Check Point
64.226.128.70,Check Point
64.226.128.71,Check Point
64.226.128.72,Check Point
64.226.128.73,Check Point
64.226.128.74,Check Point
64.226.128.75,Check Point
64.226.128.76,Check Point
64.226.128.77,Check Point
64.226.128.78,Check Point
64.226.128.79,Check Point
64.226.128.80,Check Point
64.226.128.81,Check Point
64.226.128.82,Check Point
64.226.128.83,Check Point
64.226.128.84,Check Point
64.226.128.85,Check Point
64.226.128.86,Check Point
64.226.128.87,Check Point
64.226.128.88,Check Point
64.226.128.89,Check Point
64.226.128.90,Check Point
64.226.128.91,Check Point
64.226.128.92,Check Point
64.226.128.93,Check Point
64.226.128.94,Check Point
64.226.128.95,Check Point
64.226.128.96,Check Point
64.226.128.97,Check Point
64.226.128.98,Check Point
64.226.128.99,Check Point
64.226.128.100,Check Point
64.226.128.101,Check Point
